TeamN,Place,RealPlace,PrevPlace,Team,Start,Invisible,Tour11,St11,Tour12,St12,Tour13,St13,Tour14,St14,Tour21,St21,Tour22,St22,Tour23,St23,Tour24,St24,Tour31,St31,Tour32,St32,Tour33,St33,Tour34,St34,Sum,LastAnswer,OldLastAnswer
0,1,1,1,команда,1,False,2,False,43,False,0,True,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,46,100,100
1,2,2,2,абв,0,False,0,False,0,False,6,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,6,100,100
2,3,3,3,ааач,0,False,5,False,6,False,7,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,100,100
3,4,4,4,team4,0,False,0,False,0,True,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,100,100
4,5,5,5,team5,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,100,100
5,6,6,6,team6,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,100,100
6,7,7,7,team7,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,100,100
7,8,8,8,team8,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,100,100
8,9,9,9,team9,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,100,100
9,10,10,10,team10,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,100,100
